GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
200704280002,2007-04-28,"Pakistan","Charsadda","Unknown",0,,,,,31,50,Government (General),Private Citizens & Property,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200704060009,2007-04-06,"Pakistan","Parachinar","Unknown",0,,,,,10,83,Private Citizens & Property,,,South Asia,Armed Assault,,,Firearms,,,
200703150001,2007-03-15,"India","Rani Bodli","Naxalites",0,,,,,55,12,Police,,,South Asia,Armed Assault,,,Incendiary,Explosives/Bombs/Dynamite,Firearms,
200701050004,2007-01-05,"India","Sadiya","United Liberation Front of Assam (ULFA)",0,,,,,48,19,Private Citizens & Property,,,South Asia,Armed Assault,,,Firearms,,,
200611050001,2006-11-05,"India","Guwahati","Unknown",0,,,,,11,53,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200602280005,2006-02-28,"India","Unknown","Communist Party of India - Maoist (CPI-Maoist)",1,,,55,20,Private Citizens & Property,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,
200602090002,2006-02-09,"Pakistan","Hangu","Unknown",0,,,,,31,50,Private Citizens & Property,Private Citizens & Property,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200512080003,2005-12-08,"Bangladesh","Netrokona district","Jama'atul Mujahideen Bangladesh (JMB)",0,,,,,8,50,Private Citizens & Property,,,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200511290001,2005-11-29,"Bangladesh","Gazipur","Jama'atul Mujahideen Bangladesh (JMB)",1,,,,,7,50,Government (General),Private Citizens & Property,Police,South Asia,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200511150002,2005-11-15,"India","Tangmarg","Unknown",0,,,,,2,60,Private Citizens & Property,Government (General),,South Asia,Bombing/Explosion,Armed Assault,,Explosives/Bombs/Dynamite,Firearms,,<p class="errors" style="margin-left: 40px;">There was an error performing this search, please try again or contact the GTD administrator. (Results: Input string was not in a correct format.)</p>
